name,price
Эмаль (Краска) АК-501 в Краснодаре,180
Грунт-эмаль АУ-1-201 в Краснодаре,280
Эмаль алкидно-уретановая в Краснодаре,175
Грунт-эмаль алкидно-уретановая (ТУ 20.30.22-002-83706890-2008) в Краснодаре,230
Грунтовка ХС-010 ТУ в Краснодаре,135
Грунтовка ХС-068 ТУ в Краснодаре,135
Эмаль ХВ-16 ТУ в Краснодаре,145
Эмаль ХВ-124 ТУ в Краснодаре,145
Эмаль ХВ-785 ТУ в Краснодаре,145
Грунт-эмаль ХВ-0278 ТУ в Краснодаре,145
Эмаль НЦ-132 матовая (ТУ) в Краснодаре,175
Грунтовка ХВ-050 в Краснодаре,220
Эмаль ХВ-7141 (двухкомпонентная) в Краснодаре,330
Эмаль ХС-76У в Краснодаре,230
Эмаль ХС-527 (ТУ 6-10-1669-78) в Краснодаре,250
Краска ВД-АК-1805 белая фасадная (ГОСТ 28196-89) в Краснодаре,
Краска ВД-АК-2180 белая (ГОСТ 28196-89) в Краснодаре,
Краска силикатная фасадная белая (ГОСТ 28196-89) в Краснодаре,
Эмаль акриловая в Краснодаре,185
Эмаль люминисцентная/флюоресцентная в Краснодаре,
Краска ВД-КЧ-22 белая (ГОСТ 28196-89) в Краснодаре,
Краска ВД-ВА-17 белая (ГОСТ 28196-89) в Краснодаре,
Краска ВД-ВА-27А белая (ГОСТ 28196-89) в Краснодаре,
Органосиликатная композиция ОС-12-01 (ТУ 84-725-78) в Краснодаре,220
Краска фасадная зимняя до -15°С (ГОСТ 28196-89) в Краснодаре,200
Грунт-эмаль по ржавчине 3 в 1 глянцевая быстросохнущая 1 час (ГОСТ Р 51691-2008) в Краснодаре,250
Эмаль ХС-75У (ТУ 6-10-2136-88) в Краснодаре,135
Сольвент нефтяной (Нефрас А 130/150) (в канистрах) ГОСТ 10214-78 в Краснодаре,140
Толуол нефтяной (в канистрах) ГОСТ 14710-78 в Краснодаре,160
Смывка СД/СП (ТУ 6-10-1088-76) в Краснодаре,190
Смывка СП-7 (ТУ 6-10-923-97) в Краснодаре,390
Смывка СП-6 (ТУ 6-10-641-79) в Краснодаре,400
Грунтовка ГФ-021 красно-коричневая (ГОСТ 25129-82) в Краснодаре,105
Грунтовка ГФ-021 серая (ГОСТ 25129-82) в Краснодаре,105
Грунт-эмаль ХВ-0278 красно-коричневая (ТУ 6-27-174-2000) в Краснодаре,200
Грунт-эмаль ХВ-0278 черная (ТУ 6-27-174-2000) в Краснодаре,200
Грунт-эмаль ХВ-0278 белая (ТУ 6-27-174-2000) в Краснодаре,200
Грунт-эмаль ХВ-0278 желтая (ТУ 6-27-174-2000) в Краснодаре,200
Грунт-эмаль ХВ-0278 оранжевая (ТУ 6-27-174-2000) в Краснодаре,200
Растворитель 646 (в канистрах) ГОСТ 18188-72 в Краснодаре,120
Растворитель Р-4 (в канистрах) ГОСТ 7827-74 в Краснодаре,140
Грунтовка ГФ-021 быстросохнущая (ГОСТ 25129-82) в Краснодаре,135
Уайт-спирит (в канистрах) ГОСТ 3134-78 в Краснодаре,120
Ацетон высший сорт (в канистрах) ГОСТ 2768-84 в Краснодаре,150
Нефрас С2 80/120 (Нефрас БР-2) (в канистрах) ТУ 38.401-67-108-92 в Краснодаре,130
Ксилол нефтяной (в канистрах) ГОСТ 9410-78 в Краснодаре,160
Эмаль КО-834 серебристая в Краснодаре,290
Грунтовка ГФ-020 в Краснодаре,195
Грунт-эмаль антикоррозионная до -20°C в Краснодаре,195
Эмаль МЛ-1120 в Краснодаре,265
Эмаль МЛ-1150 в Краснодаре,185
Эмаль МЛ-152 в Краснодаре,265
Грунтовка АК-0209 в Краснодаре,265
